735d00d3-d233-4e63-a203-0,"Space fd06a447-9ae9-4ea7-b2d2-45aeaba0ee04",CLOUDFOUNDRY,mLab,"addon-based service",FAILED
63bb50ed-10e8-438c-99b9-0,"Space fd06a447-9ae9-4ea7-b2d2-45aeaba0ee04",CLOUDFOUNDRY,SendGrid,"addon-based service",FAILED
a4e42acd-b573-4690-a812-0,"Space fd06a447-9ae9-4ea7-b2d2-45aeaba0ee04",CLOUDFOUNDRY,SendGrid,"addon-based service",FAILED
b8aa6ccc-f61b-490f-95f4-0,"Space fd06a447-9ae9-4ea7-b2d2-45aeaba0ee04",CLOUDFOUNDRY,SendGrid,"addon-based service",FAILED
ecf71066-a154-4bae-92b3-0,"Space fd06a447-9ae9-4ea7-b2d2-45aeaba0ee04",CLOUDFOUNDRY,SendGrid,"addon-based service",FAILED
fbec246c-a612-44fd-86b8-0,"Space fd06a447-9ae9-4ea7-b2d2-45aeaba0ee04",CLOUDFOUNDRY,SendGrid,"addon-based service",FAILED
fe9eb364-4c9b-4191-a365-0,"Space fd06a447-9ae9-4ea7-b2d2-45aeaba0ee04",CLOUDFOUNDRY,SendGrid,"addon-based service",FAILED
1da6c883-739d-476d-a355-0,"space-guid-d47ea79f-b7aa-4d38-afdb-3c36a9bb244c space-go.cloudfoundry.com",CLOUDFOUNDRY,ElephantSQL,"addon-based service",ACTIVE
070d3825-4ef0-4141-b985-0,"Space 5f8b19b7-612e-4775-9f4d-4a431d7ce7b7",CLOUDFOUNDRY,"Redis Cloud","addon-based service",ACTIVE
0f10f1fa-9e8a-4de8-a246-0,"Space 304a836f-af1f-47d7-a0fe-68689defad10",CLOUDFOUNDRY,mLab,"addon-based service",FAILED
1d89c628-ca82-4e7c-9c45-0,"Space 304a836f-af1f-47d7-a0fe-68689defad10",CLOUDFOUNDRY,mLab,"addon-based service",FAILED
4622b306-aa7e-449a-98c5-0,"Space 304a836f-af1f-47d7-a0fe-68689defad10",CLOUDFOUNDRY,mLab,"addon-based service",FAILED
bdb0b406-0072-4738-856b-0,"Space 304a836f-af1f-47d7-a0fe-68689defad10",CLOUDFOUNDRY,mLab,"addon-based service",FAILED
4f489803-0a4a-48e1-9b64-0,"Space 304a836f-af1f-47d7-a0fe-68689defad10",CLOUDFOUNDRY,mLab,"addon-based service",ACTIVE
0f44def6-21f8-4cf5-8333-0,"Space 7ebd5728-1b08-4025-8545-06caa295c9fa",CLOUDFOUNDRY,CloudAMQP,"addon-based service",FAILED
1eb25913-5f3f-4a9e-8d42-0,"Space f2123851-d195-456a-a238-073674dedb28",CLOUDFOUNDRY,CloudAMQP,"addon-based service",ACTIVE
00e09e0e-c126-46c8-aea0-0,"Space f2123851-d195-456a-a238-073674dedb28",CLOUDFOUNDRY,"ClearDB MySQL Database","addon-based service",ACTIVE
04dfeb3e-26f7-463d-823b-0,"Space f2123851-d195-456a-a238-073674dedb28",CLOUDFOUNDRY,"ClearDB MySQL Database","addon-based service",ACTIVE
